Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Daytime,Time_Difference_Minutes,Order_Hour,Order_Minute,Picked_Hour,Picked_Minute
39,4.8,21.186608,72.794136,21.246608,72.854136,Sunny,Medium,2,Buffet,electric_scooter,1,No,Metropolitian,24,evening,10,18,15,18,25
37,4.7,21.157729,72.768726,21.287729,72.898726,Cloudy,Medium,0,Drinks,motorcycle,1,No,Metropolitian,36,evening,10,18,20,18,30
34,4.7,18.530963,73.828972,18.600963,73.898972,Fog,Low,0,Drinks,motorcycle,1,No,Metropolitian,39,night,15,23,15,23,30
22,4.9,26.905287,75.794592,26.995287,75.884592,Cloudy,Medium,0,Drinks,motorcycle,1,No,Metropolitian,34,evening,15,17,30,17,45
38,4.6,18.569156,73.774723,18.699156,73.904723,Windy,Medium,1,Meal,motorcycle,1,No,Urban,22,evening,5,18,40,18,45
28,4.8,22.308096,73.167753,22.418096,73.277753,Sunny,Medium,0,Buffet,motorcycle,1,No,Metropolitian,23,evening,10,17,30,17,40
32,4.7,12.323194,76.630583,12.363194,76.670583,Stormy,High,1,Drinks,motorcycle,0,No,Urban,28,afternoon,15,14,40,14,55
38,4.7,12.284747,76.625861,12.324747,76.665861,Stormy,High,2,Meal,scooter,1,No,Urban,26,afternoon,5,13,35,13,40
25,4.5,23.359407,85.325055,23.369407,85.335055,Sunny,High,0,Buffet,motorcycle,1,No,Metropolitian,44,morning,5,11,15,11,20
30,4.9,26.892312,75.806896,26.922313,75.836896,Cloudy,Jam,1,Buffet,scooter,1,No,Metropolitian,30,evening,15,19,25,19,40
34,4.5,12.979096,77.640625,13.009096,77.670625,Sunny,Medium,0,Meal,motorcycle,1,No,Metropolitian,24,evening,10,18,35,18,45
25,4.7,19.065838,72.832658,19.095838,72.862658,Windy,Low,2,Snack,scooter,0,No,Metropolitian,14,night,15,22,10,22,25
30,4.9,19.131141,72.813074,19.221141,72.903074,Windy,Low,2,Buffet,scooter,1,No,Metropolitian,25,night,5,22,10,22,15
29,3.5,22.725835,75.887648,22.805835,75.967648,Sunny,Low,1,Snack,motorcycle,1,No,Metropolitian,42,night,5,23,40,23,45
35,4.7,22.745049,75.892471,22.775049,75.922471,Fog,Medium,2,Buffet,scooter,1,No,Metropolitian,15,evening,15,18,55,19,10
27,4.6,12.323225,76.630028,12.363225,76.670028,Fog,High,2,Snack,scooter,0,No,Metropolitian,33,afternoon,15,13,20,13,35
25,4.3,25.450329,81.834279,25.510329,81.894279,Windy,Low,0,Buffet,motorcycle,0,No,Metropolitian,28,night,10,23,15,23,25
29,4.7,18.533811,73.899315,18.563811,73.929315,Sandstorms,Jam,1,Meal,scooter,1,No,Urban,15,evening,10,19,15,19,25
37,4.6,19.121999,72.908493,19.231999,73.018493,Fog,Medium,1,Drinks,motorcycle,2,No,Metropolitian,37,evening,10,17,55,18,5
39,4.4,12.323225,76.630028,12.433225,76.740028,Cloudy,Low,0,Snack,motorcycle,1,No,Metropolitian,44,night,10,22,15,22,25
21,4.5,22.533662,88.366217,22.553662,88.386217,Sandstorms,Low,1,Snack,scooter,1,No,Metropolitian,18,morning,15,8,55,9,10
31,4.2,12.975377,77.696664,13.065377,77.786664,Fog,Low,0,Buffet,motorcycle,2,No,Metropolitian,41,night,15,22,40,22,55
27,4.7,22.745049,75.892471,22.825049,75.972471,Sandstorms,Jam,1,Drinks,motorcycle,0,No,Metropolitian,19,night,10,21,10,21,20
37,3.6,26.483672,80.320708,26.623672,80.460708,Stormy,Jam,1,Drinks,scooter,0,No,Metropolitian,41,evening,10,20,30,20,40
20,4.8,12.970221,77.645396,13.000221,77.675396,Stormy,Low,2,Snack,scooter,0,No,Metropolitian,14,night,10,23,15,23,25
21,4.8,23.374878,85.335739,23.404878,85.365739,Stormy,Low,2,Meal,scooter,1,No,Metropolitian,16,night,5,23,30,23,35
27,4.6,12.297954,76.665169,12.317954,76.685169,Cloudy,Low,2,Meal,motorcycle,0,No,Metropolitian,11,morning,15,8,20,8,35
30,4.4,19.055831,72.833984,19.095831,72.873984,Windy,Medium,1,Buffet,motorcycle,1,No,Metropolitian,31,afternoon,15,16,20,16,35
22,4.7,17.422819,78.449578,17.502819,78.529578,Stormy,Jam,1,Meal,motorcycle,1,No,Urban,17,evening,5,20,35,20,40
22,4.2,22.753839,75.897429,22.773839,75.917429,Stormy,Low,0,Meal,motorcycle,0,No,Metropolitian,27,morning,10,10,30,10,40
21,5.0,12.979166,77.640709,13.109166,77.770709,Sunny,Low,0,Drinks,motorcycle,1,No,Urban,22,night,5,23,25,23,30
26,4.9,12.337978,76.616792,12.397978,76.676792,Fog,Jam,2,Drinks,scooter,0,No,Metropolitian,25,evening,5,20,10,20,15
23,5.0,19.121999,72.908493,19.211999,72.998493,Windy,Low,2,Buffet,electric_scooter,1,No,Metropolitian,17,night,15,23,25,23,40
21,4.6,17.430448,78.418213,17.540448,78.528213,Cloudy,Low,1,Snack,motorcycle,0,No,Metropolitian,25,night,5,23,30,23,35
26,4.5,19.121999,72.908493,19.171999,72.958493,Cloudy,Jam,2,Buffet,scooter,1,No,Metropolitian,20,evening,5,19,10,19,15
34,4.9,18.530963,73.828972,18.600963,73.898972,Fog,Medium,1,Meal,motorcycle,1,No,Metropolitian,30,evening,5,17,20,17,25
38,4.6,13.027018,80.254791,13.057018,80.284791,Stormy,Medium,2,Drinks,scooter,1,No,Urban,28,evening,5,18,35,18,40
20,4.6,12.975377,77.696664,13.005377,77.726664,Fog,Medium,0,Buffet,motorcycle,0,No,Metropolitian,29,evening,10,17,10,17,20
34,4.6,12.325461,76.632278,12.395461,76.702278,Sandstorms,Jam,2,Meal,scooter,0,No,Metropolitian,25,night,15,20,55,21,10
35,3.8,22.553227,88.353273,22.623227,88.423273,Stormy,Jam,1,Meal,motorcycle,0,No,Metropolitian,42,evening,15,20,35,20,50
36,4.3,23.214459,77.434976,23.344459,77.564976,Cloudy,Low,2,Snack,scooter,1,No,Metropolitian,36,night,10,22,45,22,55
26,4.6,12.337978,76.616792,12.447978,76.726792,Stormy,Low,1,Meal,motorcycle,0,No,Metropolitian,17,night,15,22,50,23,5
28,4.6,11.026117,76.944652,11.056117,76.974652,Cloudy,Jam,2,Snack,scooter,1,No,Metropolitian,22,evening,15,20,40,20,55
26,4.6,22.761226,75.887522,22.841226,75.967522,Fog,Low,0,Snack,motorcycle,1,No,Metropolitian,21,night,10,23,35,23,45
31,4.8,18.593481,73.785901,18.663481,73.855901,Windy,Low,2,Snack,electric_scooter,1,No,Urban,15,night,15,22,20,22,35
37,4.7,17.428294,78.404423,17.518294,78.494423,Windy,Jam,0,Drinks,motorcycle,1,No,Metropolitian,51,night,10,21,40,21,50
24,4.9,26.913483,75.803139,27.043483,75.933139,Stormy,Low,1,Meal,scooter,1,No,Metropolitian,15,night,5,23,15,23,20
26,4.7,21.170798,72.790489,21.210798,72.830489,Sunny,High,2,Meal,scooter,0,No,Metropolitian,12,afternoon,15,12,20,12,35
38,4.3,27.163303,78.057044,27.213303,78.107044,Sandstorms,Medium,0,Drinks,motorcycle,2,No,Metropolitian,36,evening,15,17,10,17,25
20,4.9,12.337928,76.617889,12.467928,76.747889,Cloudy,Medium,0,Snack,motorcycle,1,No,Urban,30,evening,15,17,50,18,5
24,4.3,13.029198,77.570997,13.069198,77.610997,Cloudy,High,1,Meal,motorcycle,1,No,Metropolitian,32,afternoon,5,14,15,14,20
32,4.0,19.176269,72.836721,19.226269,72.886721,Windy,Jam,0,Snack,motorcycle,0,No,Metropolitian,37,evening,5,19,50,19,55
30,4.2,12.933284,77.615428,13.013284,77.695428,Windy,Jam,2,Buffet,motorcycle,1,No,Metropolitian,44,evening,15,20,20,20,35
23,4.6,17.430448,78.418213,17.480448,78.468213,Fog,Medium,0,Snack,motorcycle,0,No,Urban,27,evening,10,17,35,17,45
24,4.9,19.221315,72.862381,19.351315,72.992381,Windy,Jam,1,Drinks,motorcycle,1,No,Metropolitian,17,evening,10,19,25,19,35
36,4.6,21.186438,72.794115,21.256438,72.864115,Sandstorms,Low,1,Snack,scooter,0,No,Metropolitian,19,night,5,22,35,22,40
28,4.2,13.027018,80.254791,13.037018,80.264791,Sunny,High,0,Snack,motorcycle,1,No,Metropolitian,41,afternoon,15,11,55,12,10
36,4.5,23.371292,85.327872,23.401292,85.357872,Sandstorms,Medium,1,Drinks,scooter,1,No,Metropolitian,28,evening,5,17,50,17,55
34,4.6,17.433809,78.386744,17.453809,78.406744,Cloudy,Low,0,Snack,motorcycle,1,No,Urban,26,morning,15,8,50,9,5
39,4.1,11.021278,76.995017,11.041278,77.015017,Sandstorms,Low,0,Meal,motorcycle,0,No,Metropolitian,26,morning,5,9,35,9,40
28,4.9,21.157729,72.768726,21.237729,72.848726,Stormy,Low,2,Drinks,scooter,1,No,Metropolitian,19,night,5,22,40,22,45
21,4.8,26.910262,75.783013,26.950262,75.823013,Sandstorms,Medium,0,Drinks,motorcycle,1,No,Metropolitian,28,afternoon,10,15,25,15,35
35,4.6,11.003681,76.975525,11.013681,76.985525,Cloudy,Low,2,Buffet,motorcycle,0,No,Metropolitian,17,morning,15,9,30,9,45
35,4.8,23.374878,85.335739,23.464878,85.425739,Sandstorms,Jam,2,Buffet,electric_scooter,1,No,Urban,27,night,15,21,40,21,55
27,4.8,17.450851,78.379347,17.560851,78.489347,Cloudy,Jam,2,Snack,motorcycle,1,Yes,Metropolitian,40,evening,10,19,25,19,35
34,4.9,11.006686,76.951736,11.016686,76.961736,Windy,Low,2,Snack,scooter,1,No,Metropolitian,29,morning,5,10,30,10,35
20,4.7,12.284747,76.625861,12.354747,76.695861,Sandstorms,Jam,0,Snack,motorcycle,1,No,Urban,26,night,15,21,35,21,50
