Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Daytime,Time_Difference_Minutes,Order_Hour,Order_Minute,Picked_Hour,Picked_Minute,onground_dist(KM)
36,4.2,30.327968,78.046106,30.397968,78.116106,Fog,Jam,2,Snack,motorcycle,3,No,Metropolitian,46,night,15,21,55,22,10,12.7
21,4.7,10.003064,76.307589,10.043064,76.347589,Stormy,High,1,Meal,motorcycle,1,No,Metropolitian,23,afternoon,10,14,55,15,5,8.6
34,4.3,30.899584,75.809346,30.919584,75.829346,Sandstorms,Low,0,Buffet,motorcycle,0,No,Metropolitian,20,morning,10,9,20,9,30,4.7
24,4.7,26.463504,80.372929,26.593504,80.502929,Fog,Jam,1,Snack,scooter,1,No,Metropolitian,41,evening,15,19,50,20,5,32.8
29,4.5,19.176269,72.836721,19.266269,72.926721,Sandstorms,Jam,2,Buffet,electric_scooter,1,No,Metropolitian,20,evening,10,20,25,20,35,21.6
35,4,12.311072,76.654878,12.351072,76.694878,Windy,High,1,Meal,scooter,1,No,Metropolitian,33,afternoon,15,14,55,15,10,10
33,4.2,18.592718,73.773572,18.702718,73.883572,Sandstorms,Jam,2,Snack,motorcycle,1,No,Metropolitian,40,evening,10,20,30,20,40,23.8
21,4.7,22.552672,88.352885,22.582672,88.382885,Windy,Jam,0,Meal,motorcycle,1,No,Urban,15,night,15,21,15,21,30,6.6
25,4.1,18.563934,73.915367,18.643935,73.995367,Sandstorms,Jam,0,Snack,motorcycle,2,No,Metropolitian,36,evening,5,20,20,20,25,20.8
31,4.7,23.357804,85.325146,23.487804,85.455146,Sandstorms,Low,2,Meal,electric_scooter,0,No,Metropolitian,26,night,15,22,30,22,45,34.1
37,5,11.003669,76.976494,11.013669,76.986494,Sandstorms,Low,1,Snack,motorcycle,1,No,Metropolitian,20,morning,15,8,15,8,30,2.9
33,4.3,12.986047,80.218114,13.116047,80.348114,Windy,Jam,2,Meal,scooter,1,No,Metropolitian,39,evening,15,19,30,19,45,27.4
25,4,19.221315,72.862381,19.261315,72.902381,Cloudy,High,1,Buffet,motorcycle,1,No,Metropolitian,34,afternoon,5,12,25,12,30,9
29,4.5,13.005801,80.250744,13.115801,80.360744,Sunny,Medium,2,Meal,electric_scooter,1,No,Metropolitian,15,evening,15,18,35,18,50,25.2
27,5,26.849596,75.800512,26.879596,75.830512,Stormy,Jam,0,Snack,motorcycle,0,No,Urban,18,evening,5,20,35,20,40,8.5
35,4.3,21.160522,72.771477,21.250522,72.861477,Cloudy,Low,1,Drinks,scooter,0,No,Metropolitian,38,night,10,23,20,23,30,18.5
32,4,12.934179,77.615797,13.024179,77.705797,Windy,Jam,0,Buffet,motorcycle,1,No,Metropolitian,47,night,15,21,20,21,35,17.8
31,4.8,11.022477,76.995667,11.052477,77.025667,Sandstorms,Low,2,Drinks,motorcycle,1,No,Metropolitian,26,night,15,22,35,22,50,7.2
36,4.1,21.160437,72.774209,21.210437,72.824209,Stormy,Low,0,Drinks,motorcycle,1,No,Urban,22,night,5,22,35,22,40,10.2
38,4.9,15.561295,73.749478,15.601295,73.789478,Cloudy,High,1,Drinks,scooter,1,No,Urban,25,afternoon,5,13,35,13,40,10.1
32,4.6,18.563934,73.915367,18.693935,74.045367,Cloudy,Low,2,Drinks,scooter,1,No,Metropolitian,30,night,10,22,35,22,45,26.2
20,4.7,18.593481,73.785901,18.633481,73.825901,Windy,High,1,Snack,scooter,0,No,Urban,10,afternoon,10,14,15,14,25,8.5
35,5,17.451976,78.385883,17.471976,78.405883,Sunny,Low,2,Snack,scooter,1,No,Urban,11,morning,10,9,45,9,55,6.4
26,4.9,12.972532,77.608179,12.992532,77.628179,Stormy,Low,2,Buffet,scooter,0,No,Metropolitian,11,morning,15,8,40,8,55,4.9
35,4.3,13.064181,80.236442,13.134181,80.306442,Cloudy,Medium,1,Snack,motorcycle,1,No,Metropolitian,33,evening,5,17,25,17,30,18.8
37,4.7,21.149569,72.772697,21.239569,72.862697,Sandstorms,Jam,0,Snack,motorcycle,3,No,Metropolitian,52,evening,5,19,45,19,50,21.2
28,4.6,19.091458,72.827808,19.201458,72.937808,Stormy,Jam,1,Snack,scooter,1,No,Metropolitian,22,evening,15,19,10,19,25,33.7
23,4.9,19.221315,72.862381,19.281315,72.922381,Sunny,Jam,2,Drinks,electric_scooter,0,No,Metropolitian,11,night,5,21,40,21,45,13.2
37,4.8,13.064181,80.236442,13.104181,80.276442,Cloudy,Medium,0,Drinks,motorcycle,1,No,Urban,26,afternoon,10,16,45,16,55,9.6
33,5,21.175975,72.795503,21.185975,72.805503,Sunny,High,2,Snack,scooter,1,No,Metropolitian,18,morning,10,11,30,11,40,1.7
28,4.8,11.003681,76.975525,11.083681,77.055525,Sandstorms,Jam,0,Drinks,motorcycle,1,No,Metropolitian,36,evening,10,20,45,20,55,16.9
31,4.7,21.173343,72.792731,21.233343,72.852731,Cloudy,Low,2,Snack,motorcycle,0,No,Metropolitian,16,night,15,22,50,23,5,14.3
25,4.8,26.913987,75.752891,26.993987,75.832891,Sandstorms,Low,1,Drinks,scooter,0,No,Urban,18,night,10,22,25,22,35,24.9
30,4.4,21.183434,72.814492,21.253434,72.884492,Cloudy,Low,2,Drinks,scooter,1,No,Metropolitian,34,night,15,22,40,22,55,14.5
