,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Time_Orderd_hour,Time_Orderd_minute,Time_Order_picked_hour,Time_Order_picked_minute,onground_dist
0,36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,21,55,22,10,13.5
1,21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23,14,55,22,10,8.6
2,34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,9,20,22,10,21.5
3,24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,19,50,22,10,4.7
4,29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,20,25,22,10,31.4
5,35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,14,55,22,10,21.6
6,33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,20,30,22,10,12.8
7,21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,21,15,22,10,23.9
8,25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,20,20,22,10,19.0
9,31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,22,30,22,10,6.6
10,37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,8,15,22,10,20.8
11,33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,19,30,22,10,28.0
12,25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,12,25,22,10,2.9
13,29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,18,35,22,10,27.4
14,27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,20,35,22,10,9.0
15,35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,23,20,22,10,23.3
16,32.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,21,20,22,10,7.0
17,31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26,22,35,22,10,18.7
18,36.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,22,22,35,22,10,17.0
19,38.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,25,13,35,22,10,21.8
20,32.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,30,22,35,22,10,8.2
21,20.0,4.7,Windy,High,1,Snack,scooter,0.0,No,Urban,10,14,15,22,10,10.2
22,35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,No,Urban,11,9,45,22,10,15.3
23,26.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,11,8,40,22,10,10.7
24,35.0,4.3,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,33,17,25,22,10,
25,37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,52,19,45,22,10,26.2
26,28.0,4.6,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22,19,10,22,10,17.3
27,23.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,21,40,22,10,8.5
28,37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26,16,45,22,10,1.6
29,33.0,5.0,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,18,11,30,22,10,5.9
30,28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,20,45,22,10,4.9
31,31.0,4.7,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,16,22,50,22,10,15.2
32,25.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,18,22,25,22,10,16.7
33,30.0,4.4,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,34,22,40,22,10,19.1
34,33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,24,23,50,22,10,21.2
35,21.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14,10,20,22,10,33.7
36,39.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,36,20,10,22,10,5.6
37,22.0,4.7,Sunny,High,1,Buffet,scooter,1.0,No,Urban,18,12,10,22,10,13.2
38,32.0,4.6,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,17,15,30,22,10,12.3
39,35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,37,20,25,22,10,9.6
40,34.0,4.7,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,12,35,22,10,1.7
41,25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39,18,15,22,10,8.5
42,25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,20,18,20,22,10,30.4
43,30.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,31,11,45,22,10,
44,24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,20,45,22,10,17.4
45,37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,42,23,30,22,10,14.3
46,24.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,10,50,22,10,26.2
47,25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,21,25,22,10,26.1
48,32.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,25,10,10,22,10,
49,36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,17,50,22,10,1.8
50,29.0,5.0,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,18,22,20,22,10,
51,36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,23,40,22,10,24.9
52,33.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,23,25,22,10,8.6
