,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
0,36.0,4.2,30.327968,78.046106,30.397968,78.116106,21:55,22:10,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46
1,21.0,4.7,10.003064,76.307589,10.043064,76.347589,14:55,15:05,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23
3,34.0,4.3,30.899584,75.809346,30.919584,75.829346,09:20,09:30,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20
4,24.0,4.7,26.463504,80.372929,26.593504,80.502929,19:50,20:05,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41
5,29.0,4.5,19.176269,72.836721,19.266269,72.926721,20:25,20:35,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20
6,35.0,4.0,12.311072,76.654878,12.351072,76.694878,14:55,15:10,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33
7,33.0,4.2,18.592718,73.773572,18.702718,73.883572,20:30,20:40,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40
9,21.0,4.7,22.552672,88.352885,22.582672,88.382885,21:15,21:30,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15
10,25.0,4.1,18.563934,73.915367,18.643935,73.995367,20:20,20:25,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36
11,31.0,4.7,23.357804,85.325146,23.487804,85.455146,22:30,22:45,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26
12,37.0,5.0,11.003669,76.976494,11.013669,76.986494,08:15,08:30,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20
13,33.0,4.3,12.986047,80.218114,13.116047,80.348114,19:30,19:45,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39
14,25.0,4.0,19.221315,72.862381,19.261315,72.902381,12:25,12:30,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34
15,29.0,4.5,13.005801,80.250744,13.115801,80.360744,18:35,18:50,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15
16,27.0,5.0,26.849596,75.800512,26.879596,75.830512,20:35,20:40,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18
17,35.0,4.3,21.160522,72.771477,21.250522,72.861477,23:20,23:30,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38
18,32.0,4.0,12.934179,77.615797,13.024179,77.705797,21:20,21:35,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47
20,31.0,4.8,11.022477,76.995667,11.052477,77.025667,22:35,22:50,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26
21,36.0,4.1,21.160437,72.774209,21.210437,72.824209,22:35,22:40,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,22
23,38.0,4.9,15.561295,73.749478,15.601295,73.789478,13:35,13:40,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,25
25,32.0,4.6,18.563934,73.915367,18.693935,74.045367,22:35,22:45,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,30
27,20.0,4.7,18.593481,73.785901,18.633481,73.825901,14:15,14:25,Windy,High,1,Snack,scooter,0.0,No,Urban,10
29,35.0,5.0,17.451976,78.385883,17.471976,78.405883,09:45,09:55,Sunny,Low,2,Snack,scooter,1.0,No,Urban,11
30,26.0,4.9,12.972532,77.608179,12.992532,77.628179,08:40,08:55,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,11
32,35.0,4.3,13.064181,80.236442,13.134181,80.306442,17:25,17:30,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,33
34,37.0,4.7,21.149569,72.772697,21.239569,72.862697,19:45,19:50,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,52
35,28.0,4.6,19.091458,72.827808,19.201458,72.937808,19:10,19:25,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22
37,23.0,4.9,19.221315,72.862381,19.281315,72.922381,21:40,21:45,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,11
39,37.0,4.8,13.064181,80.236442,13.104181,80.276442,16:45,16:55,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26
40,33.0,5.0,21.175975,72.795503,21.185975,72.805503,11:30,11:40,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,18
44,28.0,4.8,11.003681,76.975525,11.083681,77.055525,20:45,20:55,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36
45,31.0,4.7,21.173343,72.792731,21.233343,72.852731,22:50,23:05,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,16
51,25.0,4.8,26.913987,75.752891,26.993987,75.832891,22:25,22:35,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,18
53,30.0,4.4,21.183434,72.814492,21.253434,72.884492,22:40,22:55,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,34
54,33.0,5.0,19.254567,72.848923,19.364567,72.958923,23:50,23:55,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,24
56,21.0,4.8,25.449659,81.839744,25.469659,81.859744,10:20,10:30,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14
60,39.0,4.6,12.972793,80.249982,13.062793,80.339982,20:10,20:15,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,36
61,22.0,4.7,21.157735,72.768778,21.197735,72.808778,12:10,12:15,Sunny,High,1,Buffet,scooter,1.0,No,Urban,18
62,32.0,4.6,21.186438,72.794115,21.226438,72.834115,15:30,15:45,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,17
68,35.0,4.1,13.064181,80.236442,13.154181,80.326442,20:25,20:40,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,37
70,34.0,4.7,22.311358,73.164798,22.351358,73.204798,12:35,12:45,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,28
73,25.0,4.4,13.086438,80.220672,13.196438,80.330672,18:15,18:20,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39
74,25.0,4.7,19.254567,72.848923,19.364567,72.958923,18:20,18:25,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,20
75,30.0,5.0,26.913483,75.803139,26.933483,75.823139,11:45,11:50,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,31
76,24.0,4.6,17.411028,78.329645,17.471028,78.389645,20:45,20:55,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13
79,37.0,4.6,19.876428,75.364792,19.956428,75.444792,23:30,23:45,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,42
80,24.0,5.0,12.939496,77.625999,12.949496,77.635999,10:50,10:55,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23
81,25.0,4.2,17.433809,78.386744,17.543809,78.496744,21:25,21:40,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39
82,32.0,4.6,23.374878,85.335739,23.384878,85.345739,10:10,10:20,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,25
85,36.0,4.8,26.891191,75.802083,26.981191,75.892083,17:50,17:55,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15
87,29.0,5.0,12.316967,76.603067,12.366967,76.653067,22:20,22:25,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,18
88,36.0,4.7,18.927584,72.832585,19.017584,72.922585,23:40,23:50,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,29
89,33.0,4.7,11.022298,76.998349,11.072298,77.048349,23:25,23:30,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20
90,36.0,4.4,12.325461,76.632278,12.365461,76.672278,12:40,12:55,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,39
91,21.0,4.8,18.530963,73.828972,18.640963,73.938972,23:30,23:45,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19
94,25.0,4.6,11.022477,76.995667,11.032477,77.005667,10:25,10:40,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,15
96,27.0,4.6,12.979166,77.640709,13.069166,77.730709,21:25,21:40,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29
97,23.0,4.8,18.994237,72.825553,19.104237,72.935553,22:35,22:40,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,22
98,21.0,4.3,12.284747,76.625861,12.414747,76.755861,20:10,20:20,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,42
99,27.0,4.7,21.175975,72.795503,21.195975,72.815503,10:55,11:10,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,12
100,32.0,4.2,11.000762,76.981876,11.130762,77.111876,20:35,20:45,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38
101,25.0,4.6,21.173343,72.792731,21.283343,72.902731,23:20,23:35,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23
102,39.0,4.7,26.479108,80.315042,26.499108,80.335042,10:35,10:50,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,15
103,27.0,4.6,21.175104,72.804342,21.255104,72.884342,23:45,23:50,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24
105,31.0,4.8,12.975377,77.696664,13.025377,77.746664,22:15,22:25,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,24
106,31.0,4.8,23.359194,85.325447,23.419194,85.385447,23:10,23:15,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,13
108,36.0,4.9,23.359407,85.325055,23.439407,85.405055,18:25,18:35,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,42
109,20.0,4.9,23.416792,85.316842,23.506792,85.406842,22:10,22:20,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,17
110,24.0,4.6,26.892312,75.806896,26.922313,75.836896,20:50,21:05,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25
112,39.0,4.2,22.761593,75.886362,22.871593,75.996362,18:45,18:50,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,39
113,37.0,4.8,11.026117,76.944652,11.066117,76.984652,14:55,15:05,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,18
115,22.0,4.5,26.483042,80.317833,26.533042,80.367833,22:20,22:35,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18
117,33.0,4.7,23.359033,85.325347,23.469033,85.435347,21:10,21:20,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,49
120,34.0,4.7,19.121999,72.908493,19.161999,72.948493,14:20,14:35,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,23
121,26.0,5.0,21.157729,72.768726,21.167729,72.778726,10:15,10:25,Fog,Low,2,Meal,scooter,1.0,No,Urban,11
122,31.0,4.6,22.311603,73.165012,22.371603,73.225012,21:20,21:35,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25
123,32.0,4.9,18.536562,73.896485,18.556562,73.916485,08:50,08:55,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,18
128,33.0,4.4,17.426228,78.407495,17.436228,78.417495,08:30,08:40,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28
129,20.0,4.6,12.934365,77.616155,13.024365,77.706155,20:35,20:50,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,44
130,31.0,4.3,11.003669,76.976494,11.063669,77.036494,23:25,23:40,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20
132,36.0,5.0,22.311358,73.164798,22.381358,73.234798,19:55,20:05,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35
133,31.0,4.2,12.986047,80.218114,13.096047,80.328114,21:20,21:30,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50
137,37.0,4.9,11.026117,76.944652,11.056117,76.974652,18:10,18:20,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27
139,31.0,3.9,19.065838,72.832658,19.135838,72.902658,23:40,23:50,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,35
145,39.0,4.8,12.310972,76.659264,12.350972,76.699264,12:30,12:45,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,28
146,20.0,4.7,11.025083,77.015393,11.105083,77.095393,17:10,17:20,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24
147,20.0,5.0,12.316967,76.603067,12.446967,76.733067,19:15,19:30,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,36
148,29.0,4.3,22.538731,88.364878,22.598731,88.424878,23:50,23:55,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28
149,36.0,4.8,11.001753,76.986241,11.111753,77.096241,18:45,18:50,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,31
150,36.0,4.0,22.310237,73.158921,22.400237,73.248921,20:40,20:45,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,44
