,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Daytime,Time_Difference_Minutes,Order_Hour,Order_Minute,Picked_Hour,Picked_Minute,onground_dist(KM)
0,36,4.2,30.327968,78.046106,30.397968,78.116106,Fog,Jam,2,Snack,motorcycle,3,No,Metropolitian,46,night,15,21,55,22,10,12.7
1,21,4.7,10.003064,76.307589,10.043064,76.347589,Stormy,High,1,Meal,motorcycle,1,No,Metropolitian,23,afternoon,10,14,55,15,5,8.6
2,34,4.3,30.899584,75.809346,30.919584,75.829346,Sandstorms,Low,0,Buffet,motorcycle,0,No,Metropolitian,20,morning,10,9,20,9,30,4.7
3,24,4.7,26.463504,80.372929,26.593504,80.502929,Fog,Jam,1,Snack,scooter,1,No,Metropolitian,41,evening,15,19,50,20,5,32.8
4,29,4.5,19.176269,72.836721,19.266269,72.926721,Sandstorms,Jam,2,Buffet,electric_scooter,1,No,Metropolitian,20,evening,10,20,25,20,35,21.6
5,35,4.0,12.311072,76.654878,12.351072,76.694878,Windy,High,1,Meal,scooter,1,No,Metropolitian,33,afternoon,15,14,55,15,10,10.0
6,33,4.2,18.592718,73.773572,18.702718,73.883572,Sandstorms,Jam,2,Snack,motorcycle,1,No,Metropolitian,40,evening,10,20,30,20,40,23.8
7,21,4.7,22.552672,88.352885,22.582672,88.382885,Windy,Jam,0,Meal,motorcycle,1,No,Urban,15,night,15,21,15,21,30,6.6
8,25,4.1,18.563934,73.915367,18.643935,73.995367,Sandstorms,Jam,0,Snack,motorcycle,2,No,Metropolitian,36,evening,5,20,20,20,25,20.8
9,31,4.7,23.357804,85.325146,23.487804,85.455146,Sandstorms,Low,2,Meal,electric_scooter,0,No,Metropolitian,26,night,15,22,30,22,45,34.1
10,37,5.0,11.003669,76.976494,11.013669,76.986494,Sandstorms,Low,1,Snack,motorcycle,1,No,Metropolitian,20,morning,15,8,15,8,30,2.9
11,33,4.3,12.986047,80.218114,13.116047,80.348114,Windy,Jam,2,Meal,scooter,1,No,Metropolitian,39,evening,15,19,30,19,45,27.4
