,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),onground_dist
0,0xcdcd,DEHRES17DEL01,36,4.2,30.327968,78.046106,30.397968,78.116106,12/2/2022,21:55,22:10,Fog,Jam,2,Snack,motorcycle,3,No,Metropolitian,46,13.5
1,0xd987,KOCRES16DEL01,21,4.7,10.003064,76.307589,10.043064,76.347589,13-02-2022,14:55,15:05,Stormy,High,1,Meal,motorcycle,1,No,Metropolitian,23,8.6
2,0x2784,PUNERES13DEL03,23,4.7,18.56245,73.916619,18.65245,74.006619,4/3/2022,17:30,17:40,Sandstorms,Medium,1,Drinks,scooter,1,No,Metropolitian,21,21.5
3,0xc8b6,LUDHRES15DEL02,34,4.3,30.899584,75.809346,30.919584,75.829346,13-02-2022,9:20,9:30,Sandstorms,Low,0,Buffet,motorcycle,0,No,Metropolitian,20,4.7
4,0xdb64,KNPRES14DEL02,24,4.7,26.463504,80.372929,26.593504,80.502929,14-02-2022,19:50,20:05,Fog,Jam,1,Snack,scooter,1,No,Metropolitian,41,31.4
5,0x3af3,MUMRES15DEL03,29,4.5,19.176269,72.836721,19.266269,72.926721,2/4/2022,20:25,20:35,Sandstorms,Jam,2,Buffet,electric_scooter,1,No,Metropolitian,20,21.6
6,0x3aab,MYSRES01DEL01,35,4,12.311072,76.654878,12.351072,76.694878,1/3/2022,14:55,15:10,Windy,High,1,Meal,scooter,1,No,Metropolitian,33,12.8
7,0x689b,PUNERES20DEL01,33,4.2,18.592718,73.773572,18.702718,73.883572,16-03-2022,20:30,20:40,Sandstorms,Jam,2,Snack,motorcycle,1,No,Metropolitian,40,23.9
8,0x6f67,HYDRES14DEL01,34,4.9,17.426228,78.407495,17.496228,78.477495,20-03-2022,20:40,20:50,Cloudy,Jam,0,Snack,motorcycle,,No,Metropolitian,41,19
9,0xc9cf,KOLRES15DEL03,21,4.7,22.552672,88.352885,22.582672,88.382885,15-02-2022,21:15,21:30,Windy,Jam,0,Meal,motorcycle,1,No,Urban,15,6.6
10,0x36b8,PUNERES19DEL02,25,4.1,18.563934,73.915367,18.643935,73.995367,16-03-2022,20:20,20:25,Sandstorms,Jam,0,Snack,motorcycle,2,No,Metropolitian,36,20.8
11,0x5795,RANCHIRES06DEL02,31,4.7,23.357804,85.325146,23.487804,85.455146,10/3/2022,22:30,22:45,Sandstorms,Low,2,Meal,electric_scooter,0,No,Metropolitian,26,28
12,0x6c6b,COIMBRES13DEL01,37,5,11.003669,76.976494,11.013669,76.986494,11/3/2022,8:15,8:30,Sandstorms,Low,1,Snack,motorcycle,1,No,Metropolitian,20,2.9
13,0xb816,CHENRES19DEL02,33,4.3,12.986047,80.218114,13.116047,80.348114,27-03-2022,19:30,19:45,Windy,Jam,2,Meal,scooter,1,No,Metropolitian,39,27.4
14,0x539b,MUMRES02DEL01,25,4,19.221315,72.862381,19.261315,72.902381,26-03-2022,12:25,12:30,Cloudy,High,1,Buffet,motorcycle,1,No,Metropolitian,34,9
15,0xa1b2,CHENRES01DEL01,29,4.5,13.005801,80.250744,13.115801,80.360744,27-03-2022,18:35,18:50,Sunny,Medium,2,Meal,electric_scooter,1,No,Metropolitian,15,23.3
16,0x3231,JAPRES16DEL03,27,5,26.849596,75.800512,26.879596,75.830512,5/4/2022,20:35,20:40,Stormy,Jam,0,Snack,motorcycle,0,No,Urban,18,7
17,0x8bc0,SURRES15DEL03,35,4.3,21.160522,72.771477,21.250522,72.861477,12/3/2022,23:20,23:30,Cloudy,Low,1,Drinks,scooter,0,No,Metropolitian,38,18.7
18,0x2288,BANGRES09DEL03,32,4,12.934179,77.615797,13.024179,77.705797,16-03-2022,21:20,21:35,Windy,Jam,0,Buffet,motorcycle,1,No,Metropolitian,47,17
19,0x3c5e,PUNERES04DEL01,23,4.8,18.51421,73.838429,18.62421,73.948429,2/4/2022,23:35,23:45,Windy,Low,2,Buffet,electric_scooter,0,No,Urban,12,21.8
20,0x3e60,COIMBRES02DEL03,31,4.8,11.022477,76.995667,11.052477,77.025667,1/4/2022,22:35,22:50,Sandstorms,Low,2,Drinks,motorcycle,1,No,Metropolitian,26,8.2
21,0xbff,SURRES16DEL02,36,4.1,21.160437,72.774209,21.210437,72.824209,5/3/2022,22:35,22:40,Stormy,Low,0,Drinks,motorcycle,1,No,Urban,22,10.2
22,0xd936,GOARES15DEL02,26,4.3,15.51315,73.78346,15.56315,73.83346,11/2/2022,23:25,23:35,Sandstorms,Low,0,Buffet,motorcycle,0,No,Urban,21,15.3
23,0xd681,GOARES07DEL01,38,4.9,15.561295,73.749478,15.601295,73.789478,11/2/2022,13:35,13:40,Cloudy,High,1,Drinks,scooter,1,No,Urban,25,10.7
24,0x2876,RANCHIRES02DEL01,32,3.5,0,0,0.11,0.11,8/3/2022,21:35,21:45,Stormy,Jam,1,Snack,scooter,0,No,Urban,35,
